step,T,dec_input_mbit,self_kv_cache_mbit,cross_kv_mbit,enc_input_mbit,dec_ms,lm_head_ms,step_total_ms,step_wall_ms,token_id,token
1,1,0.015625,0.375000,150.375000,6.265625,4.877344,0.159616,5.036960,5.472807,37054,Edge
2,2,0.015625,0.750000,150.375000,6.265625,3.968096,0.158720,4.126816,7.782688,16, is
3,3,0.015625,1.125000,150.375000,6.265625,3.587072,0.159456,3.746528,4.322502,17828, transforming
4,4,0.015625,1.500000,150.375000,6.265625,3.497216,0.157696,3.654912,4.190211,141, how
5,5,0.015625,1.875000,150.375000,6.265625,3.527552,0.157696,3.685248,4.282653,414, data
6,6,0.015625,2.250000,150.375000,6.265625,3.799040,0.158720,3.957760,4.346600,16, is
7,7,0.015625,2.625000,150.375000,6.265625,3.533056,0.157696,3.690752,4.252897,12069, processed
8,8,0.015625,3.000000,150.375000,6.265625,3.560448,0.157696,3.718144,4.294533,4,.
9,9,0.015625,3.375000,150.375000,6.265625,3.514368,0.157632,3.672000,4.264674,20, The
10,10,0.015625,3.750000,150.375000,6.265625,3.482624,0.158720,3.641344,4.223312,19481, architectural
11,11,0.015625,4.125000,150.375000,6.265625,3.332032,0.158720,3.490752,3.974716,3294, shift
12,12,0.015625,4.500000,150.375000,6.265625,3.362816,0.158720,3.521536,3.969866,34, has
13,13,0.015625,4.875000,150.375000,6.265625,3.494624,0.157696,3.652320,4.110960,13960, profound
14,14,0.015625,5.250000,150.375000,6.265625,3.373056,0.157696,3.530752,4.014805,8819, implications
15,15,0.015625,5.625000,150.375000,6.265625,3.475456,0.158720,3.634176,4.176240,13, for
16,16,0.015625,6.000000,150.375000,6.265625,3.491840,0.157696,3.649536,4.385649,588, real
17,17,0.015625,6.375000,150.375000,6.265625,3.548000,0.158720,3.706720,4.467527,12,-
18,18,0.015625,6.750000,150.375000,6.265625,3.390368,0.157536,3.547904,4.103116,958,time
19,19,0.015625,7.125000,150.375000,6.265625,3.378176,0.157696,3.535872,4.105315,568, decision
20,20,0.015625,7.500000,150.375000,6.265625,3.565568,0.157536,3.723104,4.302527,442, making
