n_llama,n_yolos,n_bart,llama_avg_ms,yolos_avg_ms,bart_avg_ms,Llama contention ,Yolos contention,Bart contention
1,0,0,5.024,5.024,5.024,0,0,0
0,1,0,5.05,5.05,5.05,0,0,0
0,0,1,0.87,0.87,0.87,0,0,0
1,1,1,9.320768156,8.474363246,6.621145346,4.296768156,3.424363246,5.751145346
2,1,1,12.68187391,10.94263498,9.824016947,7.657873912,5.892634981,8.954016947
2,1,2,13.26625098,10.88180655,10.04270011,8.242250984,5.831806552,9.17270011
2,2,1,18.05065522,15.37459877,14.95100199,13.02665522,10.32459877,14.08100199
2,2,2,18.66594404,16.03014492,15.98742497,13.64194404,10.98014492,15.11742497
1,2,1,14.71840126,13.19164603,11.58041778,9.694401258,8.141646032,10.71041778
1,2,2,15.09521049,13.70625937,12.80584456,10.07121049,8.656259374,11.93584456
1,1,2,9.890456502,8.92343578,7.115972528,4.866456502,3.87343578,6.245972528
3,1,1,16.17973399,12.99346713,13.26579461,11.15573399,7.943467126,12.39579461
3,1,2,16.78202336,13.57410698,13.60407273,11.75802336,8.524106984,12.73407273
3,1,3,17.35158629,14.13788269,14.35586733,12.32758629,9.087882693,13.48586733
3,2,1,21.78118232,18.0049148,18.93202642,16.75718232,12.9549148,18.06202642
3,2,2,22.22054628,18.29761256,19.52408619,17.19654628,13.24761256,18.65408619
3,2,3,22.84735253,18.80477411,20.15173146,17.82335253,13.75477411,19.28173146
3,3,1,27.44572932,23.20503579,24.59101143,22.42172932,18.15503579,23.72101143
3,3,2,27.93028674,23.53594129,25.25949207,22.90628674,18.48594129,24.38949207
3,3,3,28.42874491,23.53627406,25.50707322,23.40474491,18.48627406,24.63707322
1,3,1,20.33545238,18.41693939,16.1250904,15.31145238,13.36693939,15.2550904
1,3,2,21.01737666,18.9272379,17.67654916,15.99337666,13.8772379,16.80654916
1,3,3,21.43042099,19.44458297,17.54086383,16.40642099,14.39458297,16.67086383
2,3,1,23.84527165,20.87955679,21.3532786,18.82127165,15.82955679,20.4832786
2,3,2,24.36591426,21.0053911,22.28078209,19.34191426,15.9553911,21.41078209
2,3,3,24.90984758,21.6732184,23.01443481,19.88584758,16.6232184,22.14443481
1,1,3,10.37057053,9.04971561,7.926868847,5.346570529,3.99971561,7.056868847
1,2,3,15.65841115,14.07928864,13.06965473,10.63441115,9.02928864,12.19965473
2,1,3,13.76227208,11.73672897,11.38284364,8.738272084,6.686728974,10.51284364
2,2,3,19.09668515,16.31000309,17.65544183,14.07268515,11.26000309,16.78544183
4,1,1,19.93615618,15.44218679,16.28200066,14.91215618,10.39218679,15.41200066
4,1,2,20.34697501,15.59380232,17.07799168,15.32297501,10.54380232,16.20799168
4,1,3,20.86267472,16.10114276,17.22304664,15.83867472,11.05114276,16.35304664
4,1,4,21.53400501,16.70449902,18.00184011,16.51000501,11.65449902,17.13184011
4,2,1,25.26400983,20.11598754,21.59378089,20.24000983,15.06598754,20.72378089
4,2,2,25.86364981,20.4848686,22.6780253,20.83964981,15.4348686,21.8080253
4,2,3,26.41099615,20.96535618,23.12113734,21.38699615,15.91535618,22.25113734
4,2,4,26.85524142,21.11580314,23.36999202,21.83124142,16.06580314,22.49999202
4,3,1,30.96137333,25.28451737,27.40844708,25.93737333,20.23451737,26.53844708
4,3,2,31.59713204,25.6911929,28.15737172,26.57313204,20.6411929,27.28737172
4,3,3,31.90212673,25.85414149,28.56712759,26.87812673,20.80414149,27.69712759
4,3,4,32.41460416,26.16283259,29.21513633,27.39060416,21.11283259,28.34513633
4,4,1,36.63851411,30.69677109,33.09322858,31.61451411,25.64677109,32.22322858
4,4,2,37.2312933,31.23272158,33.78674658,32.2072933,26.18272158,32.91674658
4,4,3,37.54987414,31.23712956,34.09677482,32.52587414,26.18712956,33.22677482
4,4,4,38.11517232,31.50299158,34.62459319,33.09117232,26.45299158,33.75459319
1,4,1,26.23280969,24.29456639,18.94320461,21.20880969,19.24456639,18.07320461
1,4,2,26.72827487,24.68995467,21.53803661,21.70427487,19.63995467,20.66803661
1,4,3,27.22504627,24.88412961,21.7326168,22.20104627,19.83412961,20.8626168
1,4,4,27.52006313,25.02540905,26.82631033,22.49606313,19.97540905,25.95631033
2,4,1,29.7543913,26.25558698,27.07303337,24.7303913,21.20558698,26.20303337
2,4,2,30.34615451,26.70767552,27.45766845,25.32215451,21.65767552,26.58766845
2,4,3,30.62446531,26.94699042,27.8111356,25.60046531,21.89699042,26.9411356
2,4,4,31.05465857,27.38945523,28.99471593,26.03065857,22.33945523,28.12471593
3,4,1,33.2166501,28.57686779,30.13645237,28.1926501,23.52686779,29.26645237
3,4,2,33.59371732,28.94980132,30.90237233,28.56971732,23.89980132,30.03237233
3,4,3,34.10397067,29.32951292,31.53461853,29.07997067,24.27951292,30.66461853
3,4,4,34.60957263,29.50257216,31.80170004,29.58557263,24.45257216,30.93170004
1,1,4,10.8283446,9.55253986,8.692736005,5.804344597,4.50253986,7.822736005
1,2,4,16.19576237,14.5768976,15.52478382,11.17176237,9.526897604,14.65478382
1,3,4,21.86364958,19.76362791,19.3642064,16.83964958,14.71362791,18.4942064
2,1,4,14.19508677,11.94403317,12.35239151,9.171086769,6.894033174,11.48239151
2,2,4,19.78459449,16.61210182,17.46425433,14.76059449,11.56210182,16.59425433
2,3,4,25.27276794,21.93519105,23.51012539,20.24876794,16.88519105,22.64012539
3,1,4,17.78264951,14.26685313,15.03429301,12.75864951,9.216853133,14.16429301
3,2,4,23.18885048,18.84822907,20.78123831,18.16485048,13.79822907,19.91123831
3,3,4,28.84567077,24.07263977,26.22139166,23.82167077,19.02263977,25.35139166
5,1,1,23.41055932,17.1661642,18.16062654,18.38655932,12.1161642,17.29062654
5,1,2,24.03301909,17.83996361,19.51984382,19.00901909,12.78996361,18.64984382
5,1,3,24.61590433,18.37405103,20.25659837,19.59190433,13.32405103,19.38659837
5,1,4,25.01775106,18.45309541,20.55036173,19.99375106,13.40309541,19.68036173
5,1,5,25.52975644,18.59441095,21.73267945,20.50575644,13.54441095,20.86267945
5,2,1,29.05641496,22.44425719,24.61252568,24.03241496,17.39425719,23.74252568
5,2,2,29.55425956,22.63600593,25.21560334,24.53025956,17.58600593,24.34560334
5,2,3,30.01624824,23.13018377,25.76765259,24.99224824,18.08018377,24.89765259
5,2,4,30.59253618,23.43311307,26.50036597,25.56853618,18.38311307,25.63036597
5,2,5,31.00755449,23.72581338,27.15347999,25.98355449,18.67581338,26.28347999
5,3,1,34.65934623,27.4492603,30.3238878,29.63534623,22.3992603,29.4538878
5,3,2,35.0813527,27.80096387,30.85436277,30.0573527,22.75096387,29.98436277
5,3,3,35.64750638,28.23647864,31.44090945,30.62350638,23.18647864,30.57090945
5,3,4,36.12613951,28.51559938,32.03473765,31.10213951,23.46559938,31.16473765
5,3,5,36.63007286,29.03334407,32.415871,31.60607286,23.98334407,31.545871
5,4,1,40.16401688,32.67345312,36.16136943,35.14001688,27.62345312,35.29136943
5,4,2,40.69120746,33.05856964,36.46249272,35.66720746,28.00856964,35.59249272
5,4,3,41.2491832,33.51630363,37.03737632,36.2251832,28.46630363,36.16737632
5,4,4,41.61868475,33.69936822,37.44374225,36.59468475,28.64936822,36.57374225
5,4,5,42.12566593,34.10357291,37.97211279,37.10166593,29.05357291,37.10211279
5,5,1,45.88247476,38.1834112,41.63061341,40.85847476,33.1334112,40.76061341
5,5,2,46.36588056,38.42256391,42.20169415,41.34188056,33.37256391,41.33169415
5,5,3,46.83490045,38.91103133,42.62138863,41.81090045,33.86103133,41.75138863
5,5,4,47.30098553,39.10252277,43.14304622,42.27698553,34.05252277,42.27304622
5,5,5,47.64044567,39.20625813,43.49438881,42.61644567,34.15625813,42.62438881
1,5,1,32.19098831,29.77448022,22.28146014,27.16698831,24.72448022,21.41146014
1,5,2,32.60579718,30.18102178,21.55217662,27.58179718,25.13102178,20.68217662
1,5,3,33.00150697,30.48688955,23.71674057,27.97750697,25.43688955,22.84674057
1,5,4,33.43581887,30.77363351,24.56088747,28.41181887,25.72363351,23.69088747
1,5,5,33.85962814,31.12621534,26.41814414,28.83562814,26.07621534,25.54814414
2,5,1,35.35665132,32.19674089,29.42491309,30.33265132,27.14674089,28.55491309
2,5,2,35.68787482,32.42731939,32.11016274,30.66387482,27.37731939,31.24016274
2,5,3,36.29073995,32.75196603,30.81143698,31.26673995,27.70196603,29.94143698
2,5,4,36.62351058,32.94317074,33.52485418,31.59951058,27.89317074,32.65485418
2,5,5,37.03382442,33.27136721,34.81174016,32.00982442,28.22136721,33.94174016
3,5,1,38.84007965,34.15651807,34.32532093,33.81607965,29.10651807,33.45532093
3,5,2,39.26444698,34.49224395,35.2260629,34.24044698,29.44224395,34.3560629
3,5,3,39.82837241,34.90771777,36.11077215,34.80437241,29.85771777,35.24077215
3,5,4,40.24484083,35.15905345,37.56817763,35.22084083,30.10905345,36.69817763
3,5,5,40.67837311,35.48148207,38.100775,35.65437311,30.43148207,37.230775
4,5,1,42.349162,36.06009759,39.08229221,37.325162,31.01009759,38.21229221
4,5,2,42.90885792,36.62266417,39.41184695,37.88485792,31.57266417,38.54184695
4,5,3,43.21762591,36.85650632,39.88595191,38.19362591,31.80650632,39.01595191
4,5,4,43.7278637,37.22178608,40.29264732,38.7038637,32.17178608,39.42264732
4,5,5,44.1030348,37.31730349,40.76077885,39.0790348,32.26730349,39.89077885
1,1,5,11.31946653,9.663550451,9.326657201,6.295466534,4.613550451,8.456657201
1,2,5,16.68956668,14.91096585,14.67776528,11.66556668,9.860965848,13.80776528
1,3,5,22.35045128,20.19788234,20.19903115,17.32645128,15.14788234,19.32903115
1,4,5,28.11939289,25.66490488,23.3582383,23.09539289,20.61490488,22.4882383
2,1,5,14.72560727,12.38240989,12.63636418,9.701607266,7.332409892,11.76636418
2,2,5,20.20057912,17.32148053,18.430235,15.17657912,12.27148053,17.560235
2,3,5,25.83076154,22.41200384,24.07946219,20.80676154,17.36200384,23.20946219
