timestamp_ns,timestamp,datetime,bandwidth_mbps,rtt_ms
1775939277125671900,1775939277.1256719,15:27:57.125,427.0,15.27
1775939278145926500,1775939278.1459265,15:27:58.145,419.0,37.2283
1775939279130021300,1775939279.1300213,15:27:59.130,419.0,21.3378
1775939280126254800,1775939280.1262548,15:28:00.126,461.0,17.5924
1775939281127049400,1775939281.1270494,15:28:01.127,472.0,18.3435
1775939282122152000,1775939282.122152,15:28:02.122,472.0,13.3907
1775939283126011100,1775939283.1260111,15:28:03.126,472.0,17.3258
1775939284149221400,1775939284.1492214,15:28:04.149,388.0,40.5325
1775939285135770800,1775939285.1357708,15:28:05.135,357.0,25.2279
1775939286142098000,1775939286.142098,15:28:06.142,472.0,31.8162
1775939287147683600,1775939287.1476836,15:28:07.147,377.0,36.9892
1775939288148056700,1775939288.1480567,15:28:08.148,336.0,37.6327
1775939289131613000,1775939289.131613,15:28:09.131,357.0,19.7972
1775939290130077800,1775939290.1300778,15:28:10.130,398.0,19.2342
1775939291126906200,1775939291.1269062,15:28:11.126,398.0,15.98
1775939292125338800,1775939292.1253388,15:28:12.125,388.0,13.111
1775939293124440400,1775939293.1244404,15:28:13.124,388.0,15.7474
1775939294152752600,1775939294.1527526,15:28:14.152,377.0,44.1479
1775939295136017600,1775939295.1360176,15:28:15.136,377.0,24.7937
1775939296127380000,1775939296.12738,15:28:16.127,409.0,18.6804
1775939297130097600,1775939297.1300976,15:28:17.130,409.0,21.4424
1775939298131141200,1775939298.1311412,15:28:18.131,367.0,21.6451
1775939299123047800,1775939299.1230478,15:28:19.123,398.0,14.4326
1775939300123932600,1775939300.1239326,15:28:20.123,419.0,14.8274
1775939301157614700,1775939301.1576147,15:28:21.157,409.0,46.6138
1775939302170497400,1775939302.1704974,15:28:22.170,430.0,61.8733
1775939303159919500,1775939303.1599195,15:28:23.159,357.0,50.9178
1775939304125799400,1775939304.1257994,15:28:24.125,294.0,17.1441
1775939305125800600,1775939305.1258006,15:28:25.125,336.0,17.1287
1775939306121446800,1775939306.1214468,15:28:26.121,398.0,12.794
1775939307129453000,1775939307.129453,15:28:27.129,409.0,20.7618
