n_llama,n_yolos,n_bart,total_requests,llama32_baseline,llama32_under_load,llama32_extra,yolos_baseline,yolos_under_load,yolos_extra,bart_baseline,bart_under_load,bart_extra
0,0,0,0,4.329,4.329,0.0,6.06,6.06,0.0,0.957,0.957,0.0
0,0,1,1,4.329,4.857,0.528,6.06,6.631,0.57,0.957,1.396,0.438
0,0,2,2,4.329,5.59,1.262,6.06,7.248,1.188,0.957,1.766,0.808
0,0,3,3,4.329,6.124,1.795,6.06,7.544,1.483,0.957,2.217,1.259
0,1,0,1,4.329,8.883,4.554,6.06,11.017,4.957,0.957,2.961,2.003
0,1,1,2,4.329,9.693,5.364,6.06,11.655,5.595,0.957,4.16,3.203
0,1,2,3,4.329,11.09,6.762,6.06,11.76,5.699,0.957,4.826,3.869
0,1,3,4,4.329,11.569,7.24,6.06,12.634,6.573,0.957,6.102,5.144
0,2,0,2,4.329,15.691,11.362,6.06,16.978,10.917,0.957,5.864,4.906
0,2,1,3,4.329,16.157,11.828,6.06,17.512,11.452,0.957,7.944,6.986
0,2,2,4,4.329,18.171,13.842,6.06,17.644,11.583,0.957,9.116,8.159
0,2,3,5,4.329,18.366,14.037,6.06,18.586,12.525,0.957,11.173,10.215
0,3,0,3,4.329,22.474,18.145,6.06,23.183,17.123,0.957,8.641,7.684
0,3,1,4,4.329,23.432,19.103,6.06,23.78,17.72,0.957,11.933,10.976
0,3,2,5,4.329,25.345,21.017,6.06,24.244,18.184,0.957,14.77,13.812
0,3,3,6,4.329,25.264,20.935,6.06,24.841,18.781,0.957,14.453,13.495
1,0,0,1,4.329,7.64,3.311,6.06,9.048,2.988,0.957,3.005,2.048
1,0,1,2,4.329,8.322,3.994,6.06,9.534,3.474,0.957,3.614,2.656
1,0,2,3,4.329,8.922,4.593,6.06,9.668,3.608,0.957,3.958,3.001
1,0,3,4,4.329,9.553,5.224,6.06,10.084,4.024,0.957,4.578,3.62
1,1,0,2,4.329,13.574,9.246,6.06,13.755,7.695,0.957,6.476,5.518
1,1,1,3,4.329,13.713,9.384,6.06,13.545,7.485,0.957,7.674,6.716
1,1,2,4,4.329,15.522,11.193,6.06,14.393,8.333,0.957,7.99,7.032
1,1,3,5,4.329,15.25,10.921,6.06,14.977,8.917,0.957,9.307,8.35
1,2,0,3,4.329,20.045,15.716,6.06,19.199,13.138,0.957,12.442,11.485
1,2,1,4,4.329,22.136,17.808,6.06,19.278,13.217,0.957,13.031,12.073
1,2,2,5,4.329,22.052,17.723,6.06,19.565,13.504,0.957,14.347,13.389
1,2,3,6,4.329,23.962,19.634,6.06,21.08,15.02,0.957,14.739,13.781
1,3,0,4,4.329,30.459,26.13,6.06,25.646,19.586,0.957,15.341,14.384
1,3,1,5,4.329,28.001,23.672,6.06,26.057,19.997,0.957,20.651,19.693
1,3,2,6,4.329,31.809,27.48,6.06,26.194,20.134,0.957,18.905,17.948
1,3,3,7,4.329,29.842,25.514,6.06,26.88,20.819,0.957,21.471,20.513
2,0,0,2,4.329,11.334,7.006,6.06,11.651,5.591,0.957,5.488,4.53
2,0,1,3,4.329,11.741,7.412,6.06,11.696,5.635,0.957,6.123,5.165
